Gene	Expression
MgIM767.04G171000	258.3988986853067
MgIM767.12G031700	257.9154350000597
MgIM767.08G176600	257.2586485163592
MgIM767.10G160200	257.2370376294592
MgIM767.11G125900	256.9352593875454
MgIM767.11G119600	256.7885160166588
MgIM767.04G144300	256.613667813408
MgIM767.04G207100	255.8948742740327
MgIM767.11G098600	255.1095739442413
MgIM767.09G007900	254.9884743324942
MgIM767.05G020500	254.9308911921527
MgIM767.13G193200	254.89081508503423
MgIM767.04G014300	254.04223310417248
MgIM767.03G062700	252.19539403505675
MgIM767.14G247500	252.04939002148453
MgIM767.06G098400	252.02350844484016
MgIM767.12G026900	251.71094384793304
MgIM767.08G009600	251.2423895502244
MgIM767.14G107900	251.1816705993052
MgIM767.08G167800	250.91136991032272
MgIM767.04G104700	250.3708735528349
MgIM767.04G036500	248.94485592412187
MgIM767.08G226100	248.0034911391196
MgIM767.02G176400	247.91323966560265
MgIM767.06G019900	247.73859149332696
MgIM767.01G106400	247.5340174049376
MgIM767.08G092900	247.4173320974992
MgIM767.05G134500	246.65929166778312
MgIM767.12G181500	246.2374261609707
MgIM767.01G037000	245.79531631355857
MgIM767.02G130800	245.7662517258252
MgIM767.03G042100	245.39485543004528
MgIM767.10G037700	245.23239926025687
MgIM767.10G023400	244.3596931987645
MgIM767.14G224100	244.0256687270532
MgIM767.03G061700	243.9630824721552
MgIM767.03G085100	243.8642288281364
MgIM767.12G128000	242.81779167185147
MgIM767.10G093900	242.1625048472551
MgIM767.13G062300	240.68107044500903
MgIM767.13G147900	239.95172309030065
MgIM767.14G065000	239.4591952837185
MgIM767.05G001800	238.4600445113846
MgIM767.09G015700	238.4375982472205
MgIM767.05G016800	238.43609821618315
MgIM767.04G117300	237.89392590969743
MgIM767.02G027200	236.874496652512
MgIM767.08G210400	236.7830936402917
MgIM767.06G116200	236.60587473290477
MgIM767.01G089100	236.1582856285376
MgIM767.11G032500	235.79357278777405
MgIM767.08G000200	235.26604586637677
MgIM767.14G059800	235.03899144187676
MgIM767.14G183300	234.9432385962788
MgIM767.14G253000	234.45510298968392
MgIM767.05G056300	234.01333458587573
MgIM767.12G151000	233.1793629329001
MgIM767.14G125800	233.04076449319805
MgIM767.02G109100	232.1525094467687
MgIM767.04G024400	231.5675687885833
MgIM767.05G109500	231.3262912665232
MgIM767.10G031100	230.63205551652115
MgIM767.10G169100	230.19687983465215
MgIM767.05G008000	230.15048888182636
MgIM767.06G096100	229.3385548958703
MgIM767.08G073500	229.26928311527968
MgIM767.06G114200	228.7401662839062
MgIM767.04G060400	227.84469610115983
MgIM767.13G117000	227.64935387575235
MgIM767.08G117800	227.16493165595156
MgIM767.12G144100	226.84917711863
MgIM767.04G019800	226.64223193055187
MgIM767.04G081900	226.5841637715055
MgIM767.14G301000	226.00425491987656
MgIM767.05G078000	225.93037547589572
MgIM767.12G038900	225.5797108226861
MgIM767.04G102900	225.4500477442452
MgIM767.03G056600	225.3073906820438
MgIM767.05G007800	225.14058820772763
MgIM767.08G160900	225.04069236507283
MgIM767.02G141000	224.88330849145035
MgIM767.10G090800	224.38695744417964
MgIM767.14G323900	223.52650392105056
MgIM767.04G046800	223.516417864418
MgIM767.04G000800	222.5216373402733
MgIM767.14G143600	222.44962221352432
MgIM767.05G029700	221.78636910244117
MgIM767.06G004400	221.5493370484678
MgIM767.10G023700	221.4631116108525
MgIM767.11G047800	221.35942970121843
MgIM767.04G082000	221.0502769535003
MgIM767.04G146800	220.9535693882744
MgIM767.05G122500	219.5528618200641
MgIM767.07G001800	219.5465413246468
MgIM767.06G000400	218.78547934536087
MgIM767.12G141100	218.48527943830368
MgIM767.08G019600	218.1657201602595
MgIM767.06G125300	217.57193690135003
MgIM767.11G042600	217.18543997730583
MgIM767.02G038000	217.1265746707496
MgIM767.09G107000	216.34530300117063
MgIM767.04G121000	216.31678384668547
MgIM767.14G133400	216.0878716291878
MgIM767.06G054900	215.58560800668744
MgIM767.02G019400	214.7060609309444
MgIM767.12G125900	214.62369126026212
MgIM767.14G019600	214.59441629545648
MgIM767.14G249200	214.15374883436323
MgIM767.05G094800	213.98975823007777
MgIM767.04G083300	212.66379892535167
MgIM767.12G020500	212.46059424944823
MgIM767.12G068400	212.00502825025
MgIM767.09G064700	211.42732337562572
MgIM767.08G023200	210.7891371232107
MgIM767.07G021700	209.92714748799705
MgIM767.04G088900	209.8023614770508
MgIM767.14G146500	209.40766338570705
MgIM767.12G055600	209.24505074361065
MgIM767.06G054700	208.69750600511875
MgIM767.02G180100	208.67720384279147
MgIM767.04G155200	208.48447448187244
MgIM767.05G107100	208.3297209663731
MgIM767.04G059500	207.77658796763507
MgIM767.11G051100	207.77095447266333
MgIM767.01G061700	207.7123294871415
MgIM767.12G027400	207.45478021550335
MgIM767.06G181900	207.14643403158104
MgIM767.13G085700	205.97445242510216
MgIM767.05G127800	205.8210261271712
MgIM767.11G130500	205.58564930645895
MgIM767.12G131900	205.5567738570903
MgIM767.11G053800	205.20572388676877
MgIM767.11G040500	204.6817698597484
MgIM767.08G032800	204.44739589964277
MgIM767.09G105600	203.6861950683765
MgIM767.11G134700	203.0292724870866
MgIM767.11G006600	202.80367839315028
MgIM767.02G082100	202.6630713363357
MgIM767.08G025700	202.4784501016155
MgIM767.05G125900	202.2895831051289
MgIM767.03G016400	202.16837694075556
MgIM767.08G071900	201.2410680113082
MgIM767.11G080700	200.8801820707084
MgIM767.11G090500	200.80210718511395
MgIM767.07G057400	200.75823215332733
MgIM767.11G123700	200.32669013053405
MgIM767.14G293100	200.28464593558223
MgIM767.08G089000	199.40162175434327
MgIM767.10G166900	198.57379542737027
MgIM767.08G028800	198.4166128595115
MgIM767.03G075200	198.3235550158059
MgIM767.06G044000	198.04364825042015
MgIM767.06G069100	197.8184435111414
MgIM767.03G016800	197.78605833554485
MgIM767.14G272200	197.5907978456023
MgIM767.14G298100	197.49299828329484
MgIM767.13G088900	197.33527507736588
MgIM767.12G159300	197.23413430086796
MgIM767.07G064600	197.17225543690097
MgIM767.07G041000	196.9241971383064
MgIM767.10G008900	196.62064202826684
MgIM767.14G028700	195.97805608347488
MgIM767.14G095800	195.83987185754071
MgIM767.11G080500	195.47971961772288
MgIM767.13G015000	195.2275227146472
MgIM767.05G126900	193.3254542493736
MgIM767.10G055700	193.06361938924616
MgIM767.14G309400	192.3708725044818
MgIM767.08G049000	192.2379551415145
MgIM767.06G110300	191.96101680656963
MgIM767.05G001700	191.88662163746045
MgIM767.13G059000	190.7702808018005
MgIM767.02G112900	190.69628951662247
MgIM767.03G100200	190.0648823239837
MgIM767.07G019500	189.94211459765148
MgIM767.02G166300	189.20565114867344
MgIM767.10G179600	189.16599072808907
MgIM767.11G072900	189.00893569170933
MgIM767.02G048800	188.73292034652547
MgIM767.02G101700	188.70266573114316
MgIM767.12G175200	188.58460482808
MgIM767.02G123300	188.4755937928228
MgIM767.02G041600	188.30690301935525
MgIM767.06G116300	188.1881637656663
MgIM767.04G085800	187.7630909120996
MgIM767.03G004900	187.67334802338573
MgIM767.07G029100	187.5458672036424
MgIM767.07G100600	187.2787410278759
MgIM767.13G065800	187.08194505914412
MgIM767.07G068100	187.05888237986017
MgIM767.01G026500	187.00525575966296
MgIM767.01G015500	186.8322000717309
MgIM767.14G035500	186.7446466133949
MgIM767.03G059100	186.3585739837061
MgIM767.10G057800	185.95266325010584
MgIM767.06G181700	185.93808870341968
MgIM767.06G066100	185.9299834778221
MgIM767.12G044100	185.87320447507705
MgIM767.05G135500	185.25817411395576
MgIM767.06G044200	184.1037087411531
MgIM767.13G036600	183.33796890983476
MgIM767.05G004400	182.87117173337464
MgIM767.12G009400	182.7267172362492
MgIM767.09G008800	182.5254399577934
MgIM767.01G039000	182.41845009062848
MgIM767.11G059400	182.24638837668172
MgIM767.03G100000	181.972688310994
MgIM767.10G108600	181.65084704417004
MgIM767.14G063500	181.43191794610848
MgIM767.08G119500	181.33018690062025
MgIM767.03G116300	180.70769237775323
