n,k,count
112,112,4599
157,111,109
112,110,97
167,153,291
170,11,452
168,14,367
125,121,84
134,133,311
157,11,87
172,169,2067
160,119,146
150,116,32
154,39,62
168,91,44
139,2,178
169,18,329
163,47,202
163,40,214
146,125,50
173,154,262
176,19,99
152,116,44
154,117,60
154,115,68
163,94,145
136,44,19
152,150,263
167,148,285
110,44,9
170,169,2332
175,6,974
155,104,74
158,62,144
161,25,122
171,29,166
172,24,204
148,29,28
165,99,113
170,140,191
172,14,392
116,89,12
160,114,152
162,50,168
163,117,177
162,76,146
159,46,141
157,75,130
156,88,108
173,13,409
130,54,15
176,162,218
165,54,131
168,26,273
169,144,268
170,165,592
153,15,41
152,2,270
153,2,287
169,148,272
158,113,133
168,25,248
169,62,31
167,55,86
166,24,257
166,54,116
167,26,257
169,41,108
163,84,148
164,24,191
162,138,153
162,25,168
163,138,171
150,147,227
144,60,23
153,150,225
144,88,30
141,60,33
148,147,438
151,149,286
152,151,519
154,152,342
156,153,241
155,154,601
144,62,21
162,75,149
163,28,188
171,154,263
161,87,178
165,144,221
165,22,224
166,88,71
175,17,146
163,145,152
162,18,121
162,128,159
161,10,123
168,165,787
162,26,133
161,133,156
163,22,161
162,140,158
163,142,182
169,141,225
129,90,17
160,139,111
160,24,118
158,23,83
162,141,125
174,159,300
160,42,157
166,145,250
159,20,95
159,52,139
165,19,219
174,149,113
163,49,195
174,25,132
167,23,259
169,150,330
166,65,98
161,140,114
166,102,101
164,98,141
167,151,166
165,16,139
161,141,112
139,137,177
137,136,287
159,68,171
120,118,111
175,160,277
161,114,168
166,23,251
154,130,50
113,2,105
105,84,16
105,74,10
110,107,70
114,112,113
108,88,16
119,118,216
165,17,148
162,62,166
167,150,228
164,48,194
162,70,155
161,66,150
167,147,295
162,67,141
173,157,293
170,154,280
171,13,426
166,150,159
158,112,127
129,80,27
128,50,21
133,72,13
129,59,10
137,4,87
133,63,14
137,75,13
139,62,16
148,65,29
160,157,337
167,19,279
161,74,158
162,74,146
163,98,154
90,27,5
161,68,190
135,36,22
144,34,29
166,158,289
162,23,132
154,136,54
162,12,140
156,128,50
161,12,119
131,38,14
167,165,794
164,6,197
151,21,47
167,163,455
159,30,102
156,97,83
158,157,695
160,27,125
160,137,122
161,24,96
160,25,100
120,94,12
116,26,13
161,130,143
170,167,1226
53,53,1350
49,49,1131
45,0,7884
161,77,185
133,92,11
145,65,34
145,79,23
141,68,17
145,32,25
77,77,2282
76,76,2140
77,0,16291
165,123,210
167,138,259
166,90,84
164,73,121
162,29,167
156,29,67
158,30,84
159,27,106
153,84,52
43,43,1012
45,45,1018
46,46,989
47,42,3
164,42,178
159,131,105
157,68,118
158,69,142
141,1,339
137,3,146
100,5,31
90,90,2823
80,78,46
82,82,2896
44,5,8
44,44,915
42,37,6
166,164,703
52,2,25
164,116,172
172,22,210
165,48,144
165,92,141
167,118,121
162,42,164
164,115,187
163,67,157
161,96,168
68,1,74
160,117,132
156,111,102
141,48,18
141,92,26
160,70,183
148,86,29
176,18,102
169,14,348
168,68,39
166,105,99
173,22,196
172,142,124
171,98,7
172,68,6
160,120,144
159,37,136
79,25,4
84,84,2755
62,1,63
151,70,49
162,143,140
159,151,110
154,64,69
162,105,182
172,136,65
164,110,167
159,62,154
160,92,162
157,96,108
133,65,18
172,149,212
130,32,21
124,31,16
109,109,4185
107,105,94
102,30,11
107,1,188
108,108,4121
106,24,13
106,105,157
81,22,5
79,3,34
83,79,30
133,66,18
134,102,16
160,71,135
172,138,85
165,61,140
153,61,57
159,32,105
156,54,69
68,68,2017
65,65,1751
63,63,1695
130,3,130
128,25,13
130,68,12
161,100,190
160,57,155
162,102,157
162,106,175
179,24,15
168,66,33
178,26,14
159,59,150
163,135,180
155,135,53
141,5,63
117,4,65
118,114,64
118,112,32
127,125,141
118,4,69
159,139,82
158,103,148
159,56,139
162,33,173
163,56,157
169,23,277
180,25,5
160,95,154
171,138,113
156,98,89
167,141,251
162,127,169
162,93,177
175,23,108
177,23,48
177,153,27
176,23,68
173,25,178
162,121,189
166,21,259
165,21,226
165,114,148
102,21,8
130,104,17
128,98,19
133,24,19
133,23,18
131,23,12
107,82,12
106,100,23
119,35,12
148,4,126
169,164,541
163,23,172
171,142,185
162,97,164
169,17,254
156,50,99
155,140,36
156,120,75
167,117,117
169,58,44
135,129,47
