GeneID,Exp_leaf,Exp_bud
MgIM767.12G124200,301.001421355282,80.0066745472494
MgIM767.14G184100,300.124228281351,44.79631339163
MgIM767.06G092100,299.805095390701,324.399205723673
MgIM767.09G065100,299.740926644028,127.484428594244
MgIM767.06G006000,299.698055479668,291.650833434517
MgIM767.05G041800,299.41168643707,11.4191837270642
MgIM767.08G106300,299.051582260343,228.652380134319
MgIM767.03G079700,298.884994317687,564.590650518824
MgIM767.13G193800,298.517805236809,54.0802398504933
MgIM767.04G098100,298.223362573954,491.051293037874
MgIM767.08G223200,296.921839425507,71.9571059207879
MgIM767.11G120400,296.627845039836,227.577530878674
MgIM767.03G129100,296.617444079393,57.5651688787467
MgIM767.01G030900,295.593330964781,945.899852851244
MgIM767.03G077300,295.519046400391,167.895814774821
MgIM767.02G036300,293.545889563777,424.157959024012
MgIM767.02G032500,292.506696533187,62.115705492822
MgIM767.14G092100,292.095914050495,164.888903808515
MgIM767.04G163800,291.98482202093,34.8377864835732
MgIM767.12G109700,291.229909743944,309.426635727001
MgIM767.07G091100,290.676586122156,109.070087820816
MgIM767.02G094100,290.41296815072,338.792890314768
MgIM767.11G049700,290.082294370554,444.020432051327
MgIM767.14G211600,289.039453651612,133.732817396101
MgIM767.08G056800,287.993542396936,445.210738751805
MgIM767.06G090700,287.548858556037,294.880514295477
MgIM767.05G114100,287.07572062511,117.355272859434
MgIM767.06G098400,285.947108764118,487.031607830812
MgIM767.09G052100,284.704608231035,3.730549104195
MgIM767.05G109500,283.640364203122,27.4131470163668
MgIM767.10G042100,283.051206140492,680.519314362179
MgIM767.02G024900,282.972309157793,77.4688684580068
MgIM767.04G082000,282.868270815727,18.1650838269855
MgIM767.06G073700,282.857047231185,215.727843383001
MgIM767.11G069200,282.549657056267,189.329892836482
MgIM767.08G182800,281.59042497155,28.2136710834495
MgIM767.04G118100,281.107001524079,48.3216426256206
MgIM767.14G236800,280.887683177809,342.026526277188
MgIM767.14G133800,280.625561758854,156.523781453395
MgIM767.01G007200,279.129724539529,20.4738858641588
MgIM767.06G044200,278.361598837386,212.568245359798
MgIM767.12G181500,278.320478429501,240.850530216097
MgIM767.04G195000,278.087553667174,129.79541021393
MgIM767.05G123500,277.592392194903,620.715754821092
MgIM767.13G010400,277.495037305779,311.417529491049
MgIM767.06G015200,276.552707495062,600.094122240724
MgIM767.14G224100,275.82054413123,26.8157801373967
MgIM767.06G122500,275.642877310032,2.32335016107696
MgIM767.14G134800,274.653317508501,32.1925576146107
MgIM767.06G152500,274.368773590859,580.322621575998
MgIM767.13G155400,272.956615149254,145.80968519295
MgIM767.07G101200,272.462330789429,37.3698474510266
MgIM767.02G067100,272.415238353192,177.7666971177
MgIM767.09G089400,272.114663160789,13.3641070633415
MgIM767.13G062300,272.040167571395,297.496679831783
MgIM767.12G055600,271.940197033831,872.205015728747
MgIM767.12G166300,271.64625875942,48.7956831931848
MgIM767.14G276200,271.528245877736,517.406296516496
MgIM767.14G294900,271.328630164748,51.4991969930817
MgIM767.13G172300,270.763757351622,301.469586389487
MgIM767.14G117700,270.692398335117,375.998356146973
MgIM767.05G016800,270.530766477435,17.8756140387265
MgIM767.08G218500,270.223054812326,185.588270595094
MgIM767.14G027500,269.775213401441,102.084729191836
MgIM767.09G091900,269.754592381864,412.390003685685
MgIM767.02G027100,269.249446144158,271.813394551858
